,grid_import_ph1,grid_import_ph2,grid_import_ph3
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,3192.32380633342,908.9678560000007
4,2402.241164013792,3027.6324823338214,1956.4654113333047
5,0.0,0.0,0.0
6,1568.966394333333,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,3333.45135533342,1139.5735530000006
12,2787.471719013792,3435.319297333562,2354.2225603336296
13,0.0,0.0,0.0
14,1943.8054703333332,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,9.094947017729282e-13,3474.5789053334174,1370.1792490000012
20,3172.702273013793,3843.006113333498,2751.97970833358
21,0.0,0.0,0.0
22,2318.644545333333,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
