cs_id,cheff,dcheff,Pcpmax,V2G,Min Charge (kW),ev place connection,Place End,Fase,Type,cp_id,csconnected
1,0.98,1,7000,1,1380,1,2,1,1,1,1
1,0.98,1,7000,0,1380,2,3,2,1,2,2
1,0.98,1,7000,0,1380,3,1,3,1,3,3
1,1,1,2400,0,0,4,5,1,2,4,1
1,1,1,2400,0,0,5,6,2,2,5,2
1,1,1,2400,0,0,6,4,3,2,6,3
