,0
1,3124.65276
2,2890.0063560000003
3,3147.9208179999996
4,3534.4698180000005
5,3284.0696340000004
6,3561.0046519999996
7,5107.940071999999
8,19000.354066999997
9,20018.720658
10,22010.241242999997
11,15219.001371260869
12,6762.667679999999
13,0.0
14,0.0
15,3106.0215489999996
16,5531.416409999998
17,5936.473542999998
18,3595.5799476521725
19,1707.642818
20,3081.9170219999996
21,3683.1514080000006
22,3639.5817410000004
23,3781.168326
24,3566.8639060000005
