,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,11440.0,17880.0,24320.0,30760.0,37200.0,37200.0,37200.0,43640.0,50080.0,56520.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
2,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,14440.0,20880.0,27320.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
3,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,10116.0,12232.0,14348.0,16464.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0,18580.0
