,import_price,export_price,grid_import_ph1,grid_import_ph2,grid_import_ph3,grid_export_ph1,grid_export_ph2,grid_export_ph3,grid_import_ph1*import_price,grid_import_ph2*import_price,grid_import_ph3*import_price,total_grid_import*import_price,grid_export_ph1*export_price,grid_export_ph2*export_price,grid_export_ph3*export_price,total_grid_export*export_price
1,4.03e-05,8e-05,1060.190925,985.185005,1065.270575,0.0,0.0,0.0,0.042725694277500004,0.0397029557015,0.0429304041725,0.1253590541515,0.0,0.0,0.0,0.0
2,3.31e-05,8e-05,1590.8526916666665,6192.323806333332,6442.301189333332,0.0,0.0,0.0,0.052657224094166656,0.2049659179896333,0.2132401693669333,0.47086331145073324,0.0,0.0,0.0,0.0
3,2.29e-05,8e-05,6951.516526333332,4665.3136417536225,1856.4654113333331,0.0,0.0,0.0,0.1591897284530333,0.10683568239615795,0.04251305791953333,0.3085384687687246,0.0,0.0,0.0,0.0
4,2e-05,8e-05,0.0,0.0,691.6242233333332,1403.3618580000002,2173.8632580000003,0.0,0.0,0.0,0.013832484466666666,0.013832484466666666,0.11226894864000003,0.17390906064000003,0.0,0.28617800928000003
5,1.42e-05,8e-05,1468.9663943333326,1685.7326213333326,995.1911702173907,0.0,0.0,0.0,0.02085932279953332,0.023937403222933324,0.014131714617086948,0.058928440639553596,0.0,0.0,0.0,0.0
6,1.42e-05,8e-05,423.30423500000006,906.380369,1102.9921490000002,0.0,0.0,0.0,0.006010920137000001,0.0128706012398,0.015662488515800002,0.0345440098926,0.0,0.0,0.0,0.0
7,2.18e-05,8e-05,1089.9954930000001,1132.2514939999999,1067.890491,0.0,0.0,0.0,0.023761901747400005,0.024683082569199998,0.023280012703800004,0.07172499702040001,0.0,0.0,0.0,0.0
8,4.58e-05,8e-05,1041.5509200000001,963.335452,1049.3069389999998,0.0,0.0,0.0,0.04770303213600001,0.0441207637016,0.048058257806199996,0.1398820536438,0.0,0.0,0.0,0.0
9,6.56e-05,8e-05,1178.156606,1094.6898780000001,1187.001551,0.0,0.0,0.0,0.0772870733536,0.0718116559968,0.0778673017456,0.226966031096,0.0,0.0,0.0,0.0
10,6.24e-05,8e-05,1702.6466906666665,6333.451355333333,6672.906886333332,0.0,0.0,0.0,0.10624515349759998,0.3952073645728,0.4163893897071999,0.9178419077775999,0.0,0.0,0.0,0.0
11,4.99e-05,8e-05,7336.747081333332,5073.0004567536225,2254.222560333333,0.0,0.0,0.0,0.3661036793585333,0.2531427227920058,0.11248570576063333,0.7317321079111724,0.0,0.0,0.0,0.0
12,4.02e-05,8e-05,0.0,0.0,1035.3405163333332,1035.01744,1859.5857160000005,0.0,0.0,0.0,0.041620688756599994,0.041620688756599994,0.08280139520000002,0.14876685728000005,0.0,0.23156825248000007
13,3.24e-05,8e-05,1843.8054703333328,1978.824514333333,1198.5266492173907,0.0,0.0,0.0,0.059739297238799983,0.06411391426439998,0.03883226343464346,0.16268547493784344,0.0,0.0,0.0,0.0
14,3.02e-05,8e-05,569.214273,1027.305674,1227.7171360000002,0.0,0.0,0.0,0.0171902710446,0.0310246313548,0.03707705750720001,0.08529195990660002,0.0,0.0,0.0,0.0
15,2.6e-05,8e-05,1213.1939140000002,1260.389442,1188.954635,0.0,0.0,0.0,0.031543041764,0.032770125491999993,0.03091282051,0.095225987766,0.0,0.0,0.0,0.0
16,3e-05,8e-05,1147.6991580000001,1061.5171890000001,1155.511149,0.0,0.0,0.0,0.03443097474,0.031845515670000005,0.034665334469999996,0.10094182488,0.0,0.0,0.0,0.0
17,4.5e-05,8e-05,1296.1222870000001,1204.194751,1308.732526,0.0,0.0,0.0,0.05832550291500001,0.054188763795000004,0.058892963670000006,0.17140723038,0.0,0.0,0.0,0.0
18,6.17e-05,8e-05,1814.4406896666665,6474.578905333332,6903.512582333332,0.0,0.0,0.0,0.11195099055243331,0.39948151845906654,0.42594672632996655,0.9373792353414664,0.0,0.0,0.0,0.0
19,7.71e-05,8e-05,7721.977635333332,5480.687272753623,2651.979708333333,0.0,0.0,0.0,0.5953644756841999,0.42256098872930437,0.20446763551249997,1.2223930999260042,0.0,0.0,0.0,0.0
20,7.97e-05,8e-05,0.0,0.0,1379.0568093333331,666.673022,1545.3081750000001,0.0,0.0,0.0,0.10991082770386665,0.10991082770386665,0.05333384176,0.12362465400000001,0.0,0.17695849576
21,6.62e-05,8e-05,2218.6445453333326,2271.9164073333327,1401.8621282173906,0.0,0.0,0.0,0.1468742689010666,0.1504008661654666,0.09280327288799126,0.39007840795452453,0.0,0.0,0.0,0.0
22,5.29e-05,8e-05,715.1243099999999,1148.230979,1352.442123,0.0,0.0,0.0,0.03783007599899999,0.06074141878909999,0.0715441883067,0.17011568309479996,0.0,0.0,0.0,0.0
23,4.01e-05,8e-05,1336.3923340000001,1388.52739,1310.01878,0.0,0.0,0.0,0.053589332593400006,0.055679948338999995,0.052531753078,0.1618010340104,0.0,0.0,0.0,0.0
24,2.23e-05,8e-05,,,,,,,,,,,,,,
0,,,935.402682,865.153715,943.1027300000001,0.0,0.0,0.0,,,,,,,,
