,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.783999999999999,14.567999999999998,23.768,32.968,36.168000000000006,36.168000000000006,36.168000000000006,45.36800000000001,54.56800000000001,60.0,60.0,54.0,54.0,54.0,54.0,54.0,54.0
2,8.0,8.0,8.0,8.0,8.0,8.0,10.208,12.416,14.624,14.624,14.624,14.624,16.832,19.04,19.04,19.04,19.04,19.04,9.04,9.04,9.04,9.04,9.04,9.04
3,8.0,8.0,8.0,8.0,8.0,8.0,10.208,12.416,14.624,14.624,14.624,14.624,16.832,19.04,19.04,19.04,19.04,19.04,9.04,9.04,9.04,9.04,9.04,9.04
