dT,import_price,export_price,RealHour
1,0.0403,0.06,18
1,0.0331,0.06,19
1,0.0229,0.06,20
1,0.02,0.06,21
1,0.0142,0.06,22
1,0.0142,0.06,23
1,0.0218,0.06,24
1,0.0458,0.06,1
1,0.0656,0.06,2
1,0.0624,0.06,3
1,0.0499,0.06,4
1,0.0402,0.06,5
1,0.0324,0.06,6
1,0.0302,0.06,7
1,0.026,0.06,8
1,0.03,0.06,9
1,0.045,0.06,10
1,0.0617,0.06,11
1,0.0771,0.06,12
1,0.0797,0.06,13
1,0.0662,0.06,14
1,0.0529,0.06,15
1,0.0401,0.06,16
1,0.0223,0.06,17
