cs_id,cheff,dcheff,Pcpmax,V2G,Min Charge (kW),ev place connection,Place End,Fase,Type,cp_id,csconnected
1,0.98,1,11,1,4.14,1,2,1,1,1,1
1,0.98,1,11,1,4.14,2,3,2,1,2,2
1,1,1,2.4,0,0,3,1,3,2,3,3
2,0.98,1,11,1,4.14,4,5,1,1,4,1
2,0.98,1,11,1,4.14,5,6,2,1,5,2
2,1,1,2.4,0,0,6,4,3,2,6,3
