,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.120000000000001,23.032,33.152,43.272000000000006,47.39200000000001,47.39200000000001,47.39200000000001,57.512000000000015,60.0,60.0,60.0,54.0,54.0,54.0,54.0,54.0,54.0
2,8.0,8.0,8.0,8.0,8.0,8.0,10.208,10.208,12.416,12.416,12.416,12.416,14.624,16.832,16.832,19.04,19.04,19.04,9.04,9.04,9.04,9.04,9.04,9.04
3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.440000000000005,17.880000000000006,24.320000000000007,30.76000000000001,31.20000000000001,31.20000000000001,31.20000000000001,37.64000000000001,44.080000000000005,50.52,56.96,50.96,50.96,50.96,50.96,50.96,50.96
4,8.0,8.0,8.0,8.0,8.0,8.0,10.208,10.208,10.208,10.208,10.208,10.208,12.416,14.624,14.624,14.624,14.624,14.624,4.6240000000000006,4.6240000000000006,4.6240000000000006,4.6240000000000006,4.6240000000000006,4.6240000000000006
